[02:17:09][INFO] mutation-deterministic: [ADV-DETERMINISTIC] Using forced seeds => A=/home/dhia/browser-fuzzer/Dissertation/tests/testing_seeds/combined/complex/trigger1.html, B=/home/dhia/browser-fuzzer/Dissertation/tests/testing_seeds/combined/complex/trigger2.html
[02:17:09][WARNING] mutation-deterministic: Complexity validation failed, enforcing aggressive mutations.
[02:17:09][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:09][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:09][INFO] mutation-deterministic: Generated advanced deterministic mutation 1 => /home/dhia/browser-fuzzer/Dissertation/logger/run_20250318_012252/round_002/mutations/mutated_0001.html
[02:17:11][WARNING] mutation-deterministic: Complexity validation failed, enforcing aggressive mutations.
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:15][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:16][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:17][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
